review_item_id,review_dimension,source_design_artifact,design_item_name,design_item_value_or_summary,review_decision,evidence_confidence,blocking_reason_if_any,nonblocking_note_if_any,required_action,implementation_impact
RI-001,D1_source_artifact_specificity,data/source_artifacts_to_patch.csv,existing_runner_reference,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,approved,high,none,none,use_read_only_reference,required
RI-002,D1_source_artifact_specificity,data/source_artifacts_to_patch.csv,new_module_target,scripts/qsb_pbr_matrix_contract/,approved_with_note,medium,none,"Directory is proposed and absent; implementation may create it after review.",create_scoped_module,required
RI-003,D2_k_only_callable_design,data/k_only_callable_design.csv,callable_interface,qsb_pbr_k_candidate_contract_reconstruct,approved,high,none,none,implement_interface,required
RI-004,D2_k_only_callable_design,data/k_only_callable_design.csv,hidden_state_policy,"explicit inputs only; source read-only; output-dir only",approved,high,none,none,enforce_no_hidden_state,required
RI-005,D2_k_only_callable_design,data/k_only_callable_design.csv,baseline_hash,e1acdf0acf31e2faf68f8a517cbdbccb2f9af9e28fe974eeb01c0a7f0928754d,approved,high,none,none,validate_hash_or_reviewed_similarity,required
RI-006,D3_contract_field_export_design,data/pair_data_policy_export_design.csv,contract_field_export,contract_field_export.csv,approved,high,none,none,create_schema_and_export,required
RI-007,D4_pair_duplicate_missing_policy_design,data/pair_data_policy_export_design.csv,duplicate_pair_policy,requires_human_value declaration point,approved_with_note,medium,none,"Implementation must expose declaration point and fail if unset.",implement_required_field_guard,required
RI-008,D4_pair_duplicate_missing_policy_design,data/pair_data_policy_export_design.csv,missing_pair_policy,requires_human_value declaration point,approved_with_note,medium,none,"Implementation must expose declaration point and fail if unset.",implement_required_field_guard,required
RI-009,D5_lag_class_handoff_design,data/lag_class_handoff_export_design.csv,lag_class_handoff,lag_class_handoff.csv,approved_with_note,medium,none,"Implementation must not infer lag definition without explicit declaration.",create_export_and_guard,required
RI-010,D6_matrix_rule_numerical_policy_design,data/matrix_rule_numerical_policy_export_design.csv,rank_policy,requires_human_value declaration point,approved_with_note,medium,none,"Implementation must fail if rank policy is unset.",implement_rank_policy_guard,required
RI-011,D7_randomization_control_policy_design,data/randomization_control_policy_design.csv,random_seed_policy,requires_human_value declaration point,approved_with_note,medium,none,"Implementation must fail if controls are requested without seed declaration.",implement_control_policy_guard,required
RI-012,D7_randomization_control_policy_design,data/randomization_control_policy_design.csv,trial_count_policy,requires_human_value declaration point,approved_with_note,medium,none,"Implementation must fail if controls are requested without trial count.",implement_control_policy_guard,required
RI-013,D8_validation_harness_design,data/validation_harness_design.csv,no_hidden_state_check,VAL-09,approved,high,none,none,implement_dry_run_manifest_check,required
RI-014,D8_validation_harness_design,data/validation_harness_design.csv,K_candidate_reproduction_check,VAL-02 and VAL-03,approved,high,none,none,implement_hash_or_similarity_check,required
RI-015,D9_acceptance_tests,data/acceptance_tests.csv,negative_tests,duplicate and missing pair injection fail,approved,high,none,none,implement_negative_tests,required
RI-016,D10_claim_boundary_integrity,data/claim_boundaries.csv,claim_releases,blocked_no_physics_claim and blocked_no_mechanism_claim,approved,high,none,none,preserve_claim_boundaries,required
RI-017,D11_future_implementation_prompt_safety,data/future_implementation_prompt_skeleton.csv,forbidden_scope,no sufficiency/nullmodel/DWH/literature/claim,approved,high,none,none,preserve_forbidden_scope,required

