block_id,source_path,artifact_type,run_id,test_family,control_axis,fixed_variable,varied_variable,primary_marker,secondary_markers,status_label,bridge_property,claim_boundary,notes
BMC08c,data/bmc08c_real_units_feature_table.csv,feature_table,not_extracted,realdata_feature_source,feature_source,BMC09d-compatible sign-sensitive source,not_extracted,not_extracted,feature_mode_frequency;feature_length_scale;feature_shape_factor;feature_spectral_index,source_basis,baseline_feature_graph_source,"Input inventory only; no bridge claim.","BMC12 note identifies BMC08c as valid BMC12 source basis."
BMC12_ABC,docs/BMC12_ABC_FEATURE_DOMINANCE_RESULT_NOTE.md,result_note,not_extracted,feature_leave_one_out,feature_axis,BMC08c-compatible baseline,dropped_feature,backbone_localization,arrangement_signal;dominant_arm;decision_label,consolidated,feature_dependence_of_backbone_localization,"Supports feature-dominance diagnostic only; no physical emergence claim.","Records exact BMC09d-compatible reconciliation and BMC12b/c interpretation."
BMC12b,runs/BMC-12b/matched_leaveoneout_open/bmc12b_matched_leaveoneout_summary.csv,summary_csv,matched_leaveoneout_open,matched_edge_count_leave_one_out,edge_count,baseline_edge_count,dropped_feature,edge_set_agreement,node_set_agreement;weight_differences,exact_baseline_reconciliation,graph_size_controlled_feature_ablation,"Matched edge-count control only; no bridge synthesis claim.","Used as controlled comparison basis for BMC12c."
BMC12c,runs/BMC-12c/backbone_aware_matched_loo_open/bmc12c_decision_comparison_summary.csv,summary_csv,backbone_aware_matched_loo_open,backbone_aware_leave_one_out,feature_axis,baseline_all_features_fixed_tau,dropped_feature,backbone_localization,arrangement_signal;retained_fraction;bmc12c_decision_status,decision_partially_retained,feature_dependence_of_backbone_localization,"Decision-retention summary only; not proof of global non-genericity.","Shows full baseline retention and partial retention under individual feature drops."
BMC12e,docs/BMC12E_EDGECOUNT_NEIGHBORHOOD_RESULT_NOTE.md,result_note,decision_threshold_gap_sweep_open,edgecount_neighborhood_sweep,edge_count_neighborhood,arrangement_signal_min;dominance_gap_min,edge_count_neighborhood,backbone_localization,off_backbone_localization;arrangement_signal,backbone_localization_supported,threshold_sensitivity_of_backbone_localization,"Threshold sensitivity diagnostic only.","Relevant because it separates backbone/off-backbone localization claims."
BMC12f,runs/BMC-12f/decision_threshold_gap_sweep_open/bmc12f_threshold_gap_decision_summary.csv,summary_csv,decision_threshold_gap_sweep_open,decision_threshold_gap_sweep,decision_thresholds,variant_family,arrangement_signal_min;dominance_gap_min,backbone_localization,off_backbone_localization;weighted_shell_gap,not_extracted,decision_boundary_stability,"Decision-threshold sweep only; no new synthesis conclusion.","Relevant for later bridge-pattern robustness mapping."
BMC14,docs/BMC14_NULL_MODEL_FEATURE_CONTROL_RESULT_NOTE.md,result_note,null_model_feature_control_open,feature_randomized_nulls,feature_randomization,edge_count_target=81;core_edge_count=6,null_model_id,core_edge_containment,core_node_containment;shared_edges,internal_result,core_specificity_under_feature_randomization,"Graph-method diagnostic object only; not a physical spacetime object.","Initial feature-randomized null controls."
BMC14,runs/BMC-14/null_model_feature_control_open/bmc14_null_distribution_summary.csv,summary_csv,null_model_feature_control_open,feature_randomized_nulls,feature_randomization,observed_N81_core,null_model_id,core_edge_containment,shared_edges;recovery_fraction,not_extracted,core_specificity_under_feature_randomization,"Null distribution summary only.","Complements BMC14 result note."
BMC14d,docs/BMC14D_COVARIANCE_STRUCTURED_NULL_CONTROLS_RESULT_NOTE.md,result_note,covariance_structured_null_controls_open,covariance_structured_nulls,covariance_and_weight_rank,observed_N81_six_edge_core,null_model_id,core_edge_containment,shared_edges;recovery_fraction,internal_result,core_specificity_under_covariance_controls,"Graph-method diagnostic object only; not a physical spacetime object.","Tests global covariance, family covariance, and weight-rank edge rewire controls."
BMC14e,docs/BMC14E_DEGREE_COPULA_STRUCTURED_NULLS_RESULT_NOTE.md,result_note,degree_copula_structured_nulls_open,degree_copula_structured_nulls,degree_and_copula_structure,observed_N81_six_edge_core,null_model_id,core_edge_containment,shared_edges;recovery_fraction,internal_result,core_specificity_under_degree_copula_controls,"Graph-method diagnostic object only; not a physical spacetime object.","Tests degree-preserving and Gaussian-copula null objections."
