placeholder_id,placeholder_field,artifact,current_status,classification,blocks_preflight,blocks_execution,required_action,notes
PH001,lag_class_column,contract_field_export.csv,requires_human_value,blocking_for_preflight,true,true,contract_value_review,"Required before lag arms."
PH002,duplicate_pair_policy,contract_field_export.csv,requires_human_value,blocking_for_preflight,true,true,contract_value_review,"Policy cannot be inferred."
PH003,missing_pair_policy,contract_field_export.csv,requires_human_value,blocking_for_preflight,true,true,contract_value_review,"Policy cannot be inferred."
PH004,lag_class_definition,contract_field_export.csv,requires_human_value,blocking_for_preflight,true,true,contract_value_review,"Definition required before Arm B."
PH005,lag_sort_order,contract_field_export.csv,requires_human_value,blocking_for_preflight,true,true,contract_value_review,"Sort order required."
PH006,missing_value_policy,contract_field_export.csv,requires_human_value,blocking_for_preflight,true,true,contract_value_review,"Missing value handling required."
PH007,rank_check_rule,contract_field_export.csv,requires_human_value,blocking_for_execution,false,true,contract_value_review_before_execution,"Can be deferred past preflight only if execution prompt resolves it."
PH008,eigenvalue_threshold_policy,contract_field_export.csv,requires_human_value,blocking_for_execution,false,true,contract_value_review_before_execution,"No spectral interpretation here."
PH009,numerical_rank_threshold,contract_field_export.csv,requires_human_value,blocking_for_execution,false,true,contract_value_review_before_execution,"Threshold required before rank result."
PH010,equal_cardinality_partition_eligibility,contract_field_export.csv,requires_human_value,blocking_for_preflight,true,true,contract_value_review,"Arm C gate unresolved."
PH011,random_seed_policy,contract_field_export.csv,requires_human_value,blocking_for_preflight,true,true,contract_value_review,"Random controls cannot run."
PH012,trial_count_policy,contract_field_export.csv,requires_human_value,blocking_for_preflight,true,true,contract_value_review,"Trial policy unresolved."
PH013,lag_value_column,lag_class_handoff.csv,requires_human_value,blocking_for_preflight,true,true,contract_value_review,"Lag value source unresolved."
PH014,lag_class_cardinality_export,lag_class_handoff.csv,requires_human_value,blocking_for_preflight,true,true,contract_value_review,"Control cardinalities unresolved."
PH015,randomization_manifest_schema,control_policy_export.csv,requires_human_value,blocking_for_preflight,true,true,contract_value_review,"Manifest schema unresolved."
