literature_id,source_key,title,authors,year,venue,doi,arxiv_id,source_url,source_type,source_class,author_cluster,theory_cluster,green_status,risk_status,verification_status,discovery_channel,notes
L1,L1,"Quantum theory of geometry. 1: Area operators","Ashtekar & Lewandowski",1997,,,,primary_literature,GREEN,LQG_quantum_geometry,loop_quantum_geometry,GREEN,low,verified_from_deep_research_report,deep_research_report,"DOI/arXiv/source URL not provided in task prompt; keep empty pending verification."
L2,L2,"Quantum theory of geometry. 2. Volume operators","Ashtekar & Lewandowski",1998,,,,primary_literature,GREEN,LQG_quantum_geometry,loop_quantum_geometry,GREEN,low,verified_from_deep_research_report,deep_research_report,"DOI/arXiv/source URL not provided in task prompt; keep empty pending verification."
L3,L3,"Uniqueness of diffeomorphism invariant states on holonomy-flux algebras","Lewandowski; Okołów; Sahlmann; Thiemann",2006,,,,primary_literature,GREEN,LQG_quantum_geometry,loop_quantum_geometry,GREEN,low,verified_from_deep_research_report,deep_research_report,"DOI/arXiv/source URL not provided in task prompt; keep empty pending verification."
L4,L4,"Emergence of Riemannian Quantum Geometry","Haggard; Lewandowski; Sahlmann",2023,,,,handbook_chapter,GREEN,LQG_quantum_geometry,loop_quantum_geometry,GREEN,low,verified_from_deep_research_report,deep_research_report,"Classified as review/handbook chapter from task prompt."
L5,L5,"Twisted geometries: A geometric parametrisation of SU(2) phase space","Freidel & Speziale",2010,,,,primary_literature,GREEN,LQG_quantum_geometry,loop_quantum_geometry,GREEN,low,verified_from_deep_research_report,deep_research_report,"DOI/arXiv/source URL not provided in task prompt; keep empty pending verification."
L6,L6,"Polyhedra in loop quantum gravity","Bianchi; Donà; Speziale",2011,,,,primary_literature,GREEN,LQG_quantum_geometry,loop_quantum_geometry,GREEN,low,verified_from_deep_research_report,deep_research_report,"DOI/arXiv/source URL not provided in task prompt; keep empty pending verification."
L7,L7,"Bohr-Sommerfeld Quantization of Space","Bianchi & Haggard",2012,,,,primary_literature,GREEN-YELLOW,LQG_quantum_geometry,loop_quantum_geometry,GREEN-YELLOW,medium,verified_from_deep_research_report,deep_research_report,"DOI/arXiv/source URL not provided in task prompt; keep empty pending verification."
W1,W1,"Microscopic origin of the Bekenstein-Hawking entropy","Strominger & Vafa",1996,,,,primary_literature,GREEN,Wadia_holography_string_black_holes,holography_string_qg,GREEN,low,verified_from_deep_research_report,deep_research_report,"DOI/arXiv/source URL not provided in task prompt; keep empty pending verification."
W2,W2,"The Large N Limit of Superconformal Field Theories and Supergravity","Maldacena",1998,,,,primary_literature,GREEN,Wadia_holography_string_black_holes,holography_string_qg,GREEN,low,verified_from_deep_research_report,deep_research_report,"DOI/arXiv/source URL not provided in task prompt; keep empty pending verification."
W3,W3,"Anti de Sitter space and holography","Witten",1998,,,,primary_literature,GREEN,Wadia_holography_string_black_holes,holography_string_qg,GREEN,low,verified_from_deep_research_report,deep_research_report,"DOI/arXiv/source URL not provided in task prompt; keep empty pending verification."
