run_id,boundary_field,boundary_value
QSB-PBR-MECHANISTIC-BRAINSTORMING-PLURALISTIC-LITERATURE-02,mechanism_search_status,brainstorming_only_no_mechanism_claim
QSB-PBR-MECHANISTIC-BRAINSTORMING-PLURALISTIC-LITERATURE-02,physical_claim_release,blocked_no_physics_claim
QSB-PBR-MECHANISTIC-BRAINSTORMING-PLURALISTIC-LITERATURE-02,literature_used_as_internal_evidence,false
QSB-PBR-MECHANISTIC-BRAINSTORMING-PLURALISTIC-LITERATURE-02,literature_proves_qsb_pbr,false
QSB-PBR-MECHANISTIC-BRAINSTORMING-PLURALISTIC-LITERATURE-02,candidate_search_executed,false
QSB-PBR-MECHANISTIC-BRAINSTORMING-PLURALISTIC-LITERATURE-02,candidate_repair_executed,false
QSB-PBR-MECHANISTIC-BRAINSTORMING-PLURALISTIC-LITERATURE-02,candidate_upgrade_count,0
QSB-PBR-MECHANISTIC-BRAINSTORMING-PLURALISTIC-LITERATURE-02,admissibility_checks_rerun,false
QSB-PBR-MECHANISTIC-BRAINSTORMING-PLURALISTIC-LITERATURE-02,mechanism_tests_executed,false
QSB-PBR-MECHANISTIC-BRAINSTORMING-PLURALISTIC-LITERATURE-02,nullmodels_executed,false
QSB-PBR-MECHANISTIC-BRAINSTORMING-PLURALISTIC-LITERATURE-02,independent_lag_variable_gate_reopened,false
QSB-PBR-MECHANISTIC-BRAINSTORMING-PLURALISTIC-LITERATURE-02,rank_psd_structure_physical_meaning_asserted,false
