section,field,evidence_status,source_evidence,design_action
C0,contract_id,requires_human_review,design_run_generated,review_or_revise
C0,claim_boundary,documented_existing_evidence,source_alignment/claim_boundaries.csv,preserve
C1,source_code_artifact_path,documented_existing_evidence,source_alignment/source_artifact_hashes.csv,preserve
C1,K_candidate_export_sha256,documented_existing_evidence,source_alignment/k_candidate_export_inventory.csv,preserve
C2,input_pair_table_path,partial_evidence_requires_review,source_alignment/contract_component_status.csv,review
C2,duplicate_row_policy,missing_not_documented,source_alignment/contract_gap_analysis.csv,patch_required
C3,pair_policy,documented_existing_evidence,S1 pair basis review,preserve
C3,diagonal_policy,derived_from_existing_code_trace,EXTRACT03A-R1 runner,review
C3,missing_pair_policy,missing_not_documented,source_alignment/contract_gap_analysis.csv,patch_required
C4,lag_class_definition,missing_not_documented,source_alignment/contract_gap_analysis.csv,patch_required
C5,matrix_entry_formula,documented_existing_evidence,EXTRACT03A-R1 runtime mapping,preserve
C5,symmetrization_rule,derived_from_existing_code_trace,EXTRACT03A-R1 runner,review
C5,missing_value_policy,missing_not_documented,source_alignment/contract_gap_analysis.csv,patch_required
C6,PSD_check_rule,documented_existing_evidence,EXTRACT03A-R1 K validation,preserve
C6,rank_check_rule,missing_not_documented,source_alignment/contract_gap_analysis.csv,patch_required
C7,random_seed_policy,missing_not_documented,source_alignment/future_unblock_criteria.csv,patch_required
C8,reconstruction_script_or_function,missing_not_documented,source_alignment/contract_gap_analysis.csv,patch_required
C9,human_review_checklist,requires_human_review,this design package,review

