path,line_number,excerpt,mentions_formula,mentions_normalization,mentions_same_abs_delta,mentions_distance_or_cost,mentions_threshold,assessment
scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,54,"""14_shortest_path_D_matrix.csv"", ""15_strength_matrix.csv"", ""16_edge_candidate_result.csv"",",false,false,false,true,false,documentation_candidate
scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,253,strength = np.exp(-d / ELL_0),true,false,false,false,false,formula_confirmed
scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,254,"np.fill_diagonal(strength, 1.0)",false,false,false,false,false,documentation_candidate
scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,255,edge = strength >= THETA_EDGE,false,false,false,false,true,documentation_candidate
scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,297,"validation(""strength"", ""range"", bool(np.min(strength) >= 0 and np.max(strength) <= 1 + 1e-12), f""{np.min(strength)}..{np.max(strength)}"", ""[0,1]"")",false,false,false,false,false,documentation_candidate
scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,345,"(""d_cost_candidate"", ""-ell_0 log(abs(K)+epsilon_Gram)"", ""real"", ""model cost scale"", ""candidate cost""),",false,false,false,true,false,documentation_candidate
scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,357,"write_csv(FILES[12], [""row_pair_id"", ""column_pair_id"", ""d_cost_candidate"", ""lineage_bundle_sha256""], matrix_rows(d, ""d_cost_candidate""))",false,false,false,true,false,documentation_candidate
scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,359,"write_csv(FILES[14], [""row_pair_id"", ""column_pair_id"", ""relation_strength"", ""lineage_bundle_sha256""], matrix_rows(strength, ""relation_strength""))",false,false,false,false,false,documentation_candidate
scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,360,"edge_rows = [{""pair_a"": pair_ids[i], ""pair_b"": pair_ids[j], ""strength"": format(float(strength[i,j]), "".17g""), ""theta_edge"": THETA_EDGE, ""edge_candidate_flag"": int(edge[i,j]), ""diagonal"": int(i == j), ""claim_boundary"": ""candidate edge only"", ""lineage_bundle_sha",false,false,false,false,true,documentation_candidate
scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,381,"CREATE TABLE extract03a_r1_strength (row_pair_id TEXT,column_pair_id TEXT,value REAL,lineage_bundle_sha256 TEXT,PRIMARY KEY(row_pair_id,column_pair_id));",false,false,false,false,false,documentation_candidate
scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,382,"CREATE TABLE extract03a_r1_edge_candidate (pair_a TEXT,pair_b TEXT,strength REAL,edge_candidate_flag INTEGER,lineage_bundle_sha256 TEXT,PRIMARY KEY(pair_a,pair_b));",false,false,false,false,false,documentation_candidate
scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,397,"for table, matrix in [(""extract03a_r1_K_candidate"",K),(""extract03a_r1_distance_cost"",d),(""extract03a_r1_shortest_path_D"",D),(""extract03a_r1_strength"",strength)]:",false,false,false,false,false,documentation_candidate
